Date,Open,High,Low,Close
29.09.2007,1.42656,1.42656,1.42656,1.42656
30.09.2007,1.42723,1.42808,1.42075,1.42283
01.10.2007,1.42289,1.42389,1.41353,1.41526
02.10.2007,1.41566,1.42012,1.40797,1.4088
03.10.2007,1.40882,1.41488,1.40641,1.41366
04.10.2007,1.41355,1.41569,1.40313,1.41336
05.10.2007,1.41336,1.41336,1.41336,1.41336
06.10.2007,1.41336,1.41336,1.41336,1.41336
07.10.2007,1.4134,1.41526,1.40321,1.40465
08.10.2007,1.40454,1.41147,1.40093,1.41029
09.10.2007,1.41061,1.41715,1.40914,1.41442
10.10.2007,1.41427,1.42402,1.41318,1.4195
11.10.2007,1.41945,1.42125,1.41522,1.41763
12.10.2007,1.41763,1.41763,1.41763,1.41763
13.10.2007,1.41763,1.41763,1.41763,1.41763
14.10.2007,1.41745,1.42429,1.41559,1.42026
15.10.2007,1.42018,1.42265,1.41397,1.41706
16.10.2007,1.41703,1.42301,1.41562,1.42042
17.10.2007,1.42045,1.43097,1.41921,1.4292
18.10.2007,1.42912,1.43179,1.42426,1.42985
19.10.2007,1.42985,1.42985,1.42985,1.42985
20.10.2007,1.42985,1.42985,1.42985,1.42985
21.10.2007,1.43037,1.43501,1.41231,1.41798
22.10.2007,1.4179,1.42782,1.41671,1.42613
23.10.2007,1.42611,1.42697,1.41873,1.42648
24.10.2007,1.42644,1.43443,1.42436,1.43218
25.10.2007,1.43214,1.43953,1.43136,1.43908
26.10.2007,1.43908,1.43908,1.43908,1.43908
27.10.2007,1.43908,1.43908,1.43908,1.43908
28.10.2007,1.44146,1.44378,1.43738,1.44244
29.10.2007,1.44233,1.4441,1.43717,1.44323
30.10.2007,1.44304,1.45035,1.44172,1.44846
31.10.2007,1.4486,1.44884,1.43995,1.44227
01.11.2007,1.44226,1.45273,1.44117,1.45033
02.11.2007,1.45033,1.45033,1.45033,1.45033
03.11.2007,1.45033,1.45033,1.45033,1.45033
04.11.2007,1.45132,1.45234,1.44406,1.44677
05.11.2007,1.44673,1.45706,1.44627,1.45532
06.11.2007,1.45533,1.47294,1.45495,1.46346
07.11.2007,1.46331,1.47027,1.46128,1.46735
08.11.2007,1.46743,1.47519,1.46286,1.46725
09.11.2007,1.46725,1.46725,1.46725,1.46725
10.11.2007,1.46725,1.46725,1.46725,1.46725
11.11.2007,1.46701,1.46758,1.45237,1.45296
12.11.2007,1.45301,1.46325,1.45168,1.46001
13.11.2007,1.45991,1.47245,1.45949,1.46473
14.11.2007,1.46491,1.47038,1.46009,1.46108
15.11.2007,1.46085,1.46721,1.45786,1.46584
16.11.2007,1.46584,1.46584,1.46584,1.46584
17.11.2007,1.46584,1.46584,1.46584,1.46584
18.11.2007,1.46689,1.46884,1.4617,1.46625
19.11.2007,1.46644,1.48517,1.46303,1.48373
20.11.2007,1.48382,1.48689,1.47707,1.48563
21.11.2007,1.4856,1.4873,1.48185,1.48475
22.11.2007,1.48474,1.49646,1.47816,1.48358
23.11.2007,1.48358,1.48358,1.48358,1.48358
24.11.2007,1.48358,1.48358,1.48358,1.48358
25.11.2007,1.48193,1.48869,1.48011,1.48696
26.11.2007,1.48691,1.49078,1.48061,1.48274
27.11.2007,1.48266,1.48579,1.47078,1.48389
28.11.2007,1.48391,1.48442,1.47188,1.47412
29.11.2007,1.47426,1.47849,1.46231,1.46313
30.11.2007,1.46313,1.46313,1.46313,1.46313
01.12.2007,1.46313,1.46313,1.46313,1.46313
02.12.2007,1.4636,1.47077,1.4618,1.46657
03.12.2007,1.4666,1.47688,1.46315,1.4756
04.12.2007,1.47566,1.47701,1.45908,1.46085
05.12.2007,1.46101,1.46518,1.45234,1.46335
06.12.2007,1.46353,1.46725,1.45946,1.46534
07.12.2007,1.46534,1.46534,1.46534,1.46534
08.12.2007,1.46534,1.46534,1.46534,1.46534
09.12.2007,1.46539,1.47356,1.46361,1.47108
10.12.2007,1.47101,1.47506,1.46378,1.46533
11.12.2007,1.46542,1.4748,1.46469,1.4699
12.12.2007,1.46986,1.47379,1.45742,1.46299
13.12.2007,1.46297,1.46578,1.44094,1.44282
14.12.2007,1.44282,1.44282,1.44282,1.44282
15.12.2007,1.44282,1.44282,1.44282,1.44282
16.12.2007,1.43892,1.44521,1.43273,1.43981
